id,score
m.0vthxyv,254
m.090k23,254
m.04w341y,254
m.06v9p75,253
m.0s9ppjf,253
m.0swhbml,253
m.042h9p,253
m.03mf0zd,251
m.02253n,251
m.0696hpd,250
m.0vxsw8k,250
m.09zw41,249
m.0j0_y45,248
m.03kxyx,248
m.0khl9k_,248
m.0ddgh45,246
m.043skqd,246
m.0zbm8vx,245
m.0v_33s5,245
m.08tnmc,245
m.0j4_d9m,245
m.09zw4r,245
m.06n8kd6,245
m.0j7c4tl,244
m.0k4_lnh,244
m.0h1923,244
m.0ypkm88,244
m.0110vm2j,244
m.076_r8,243
m.05p5hxr,243
m.0qfhty5,243
m.0gvsq26,242
m.07lbc8,242
m.0_zd27b,242
m.0ngtz_v,242
m.0y6gqc8,242
m.0405y69,241
m.0k8w25_,241
m.0k8czbt,241
m.0l8pkbm,241
m.0qs1m34,240
m.0cvd1w,240
m.06skr8g,240
m.09tm4sp,240
m.06szhqv,240
m.0j54vm7,240
m.0vx1lsg,239
m.0_zftq2,239
m.010p2tx2,238
m.0_xfmf3,238
m.02rr88h,238
m.0bwm2lq,236
m.0hnc6l7,236
m.03fvzz,236
m.0k3nj9m,236
m.051kgy5,236
m.0ctsnd,235
m.04t22v9,235
m.03mcrgz,234
m.0nddp2m,234
m.067h9n,234
m.01kxt8,234
m.0j7mfxt,233
m.0h781t,232
m.04w4b7j,232
m.04tkrd,231
m.0w2yhr6,231
m.0gg2hr,230
m.0_wkvpl,230
m.0w19lnx,229
m.0vxl96h,229
m.0byrp4,229
m.0bf1vjs,229
m.0_w4by7,228
m.02vkrfh,228
m.04cxg0s,228
m.06lm3,228
m.02w4v7j,227
m.019qz_,227
m.0k060zs,227
m.0j3g9hl,226
m.0pdndh7,226
m.01tgs8,225
m.06c82h7,225
m.02r5b8b,225
m.04yq8wm,224
m.025_gmn,224
m.05yxjd9,224
m.0g4m699,224
m.0k8zr6k,223
m.0vs488v,222
m.0vx88ld,222
m.051wyyh,222
m.0dqj6b,222
m.0x2cdvy,222
m.0vxzf8n,222
m.05_42p,220
m.0x2b590,220
m.02pr35s,220
m.0gz7s98,219
m.012lb4gb,219
m.04t1d_m,219
m.0n3g_n4,219
m.0gj8m6m,219
m.0gz7s2d,218
m.0115n7p1,218
m.0btk_sz,218
m.059c8jb,217
m.02mm4z,217
m.0v_1jbj,216
m.0dln3hf,216
m.0w9drjh,216
m.01j519,215
m.03r8yl,215
m.0lxzt4z,215
m.0c3_v3s,215
m.0t584_p,214
m.04whf4l,213
m.0cvdfz,213
m.09tr0r1,213
m.07c08h,212
m.09tm4sh,212
m.04ymnpz,212
m.0dzy1p,212
m.0dfs7q,212
m.0599m5_,212
m.0jb2716,212
m.0wy77w3,211
m.0546d,211
m.051jj2d,211
m.09cxx7x,211
m.02vtm1b,211
m.04ylg7d,210
m.0zt11r8,210
m.0zmqwsr,210
m.0xnlk_d,210
m.025xydb,210
m.025zp5w,210
m.0n5zz7h,210
m.04w3445,209
m.0101pwp5,208
m.0k2_k80,208
m.0nf9pcw,208
m.04ylmqz,208
m.0_sk8wk,208
m.0_qtjvk,208
m.02pjzmz,208
m.04w4zg3,207
m.05kddym,206
m.0823zn,206
m.0ypzw4r,206
m.06pk757,206
m.0hzz_nx,205
m.04yc6b1,205
m.0v2tmy0,205
m.04wg31r,204
m.0wzjnq9,204
m.0jx41hx,204
m.0rn__jw,203
m.023gj6,203
m.0wy34q0,203
m.06nc149,203
m.0808dlx,202
m.0950b4h,202
m.05zms17,202
m.03cb8gm,202
m.0bpnk,202
m.0cslvz,201
m.071pdr,201
m.010p8kxl,201
m.02n1d4,200
m.05qgs14,200
m.0n9gwqb,200
m.0r5xky_,199
m.0cmdvd3,199
m.09zvzw,199
m.04w84kh,199
m.0bmkhj4,199
m.0j5qgfc,199
m.070zsd,199
m.03z84c,199
m.06w9nt_,199
m.0kzg4z4,199
m.07chn8,198
m.0jx314p,198
m.0jw4svg,198
m.0y45stt,198
m.0y_xrjr,198
m.04wrh7,198
m.051jyb0,197
m.0j1d1j4,197
m.01sdtw,197
m.0clj8hw,196
m.0y4cyf6,195
m.0264njs,195
m.0ryqwm9,195
m.07k4d3y,195
m.040h3_,195
m.02731r5,194
m.04ykb4,194
m.04yncl7,194
m.0zm7mvl,194
m.0dwdj_,193
m.04y9s6l,193
m.07kbqhd,193
m.0jrv4xn,193
m.0bhc0lq,193
m.03d29b5,193
m.0kcln2z,192
m.0y6135g,192
m.0cp13nf,191
m.0hfdy,191
m.09rg07p,191
m.09pngz,191
m.043mmx2,190
m.0vs5l_x,190
m.02khnq,190
m.0wy3cpd,190
m.02z113t,189
m.09rhp9h,189
m.0r40sjx,189
m.02z10mn,188
m.04lpmwh,188
m.03wf8mv,188
m.02p0dn,188
m.0f18s,188
m.02z80gz,187
m.03nndsx,187
m.04w343f,187
m.018x_s,187
m.0m5hrg0,186
m.027_b1r,186
m.0lblh0c,186
m.0j55zl4,186
m.0gmyd_,185
m.05221q6,185
m.0j54jzg,185
m.0n1wjct,185
m.0wzg7kw,184
m.0l1cvw9,184
m.027ngfl,183
m.0q3z3z2,183
m.0nh09fv,183
m.0pcnq7_,183
m.0_lhpdy,183
m.0q3lhvs,183
m.0pb1bhc,182
m.0b86nl,182
m.0b1th1,182
m.0rq83fp,182
m.09ggpvj,182
m.0j862ks,182
m.0nyl9yj,182
m.0glsw20,181
m.02qtc_q,181
m.0hwk2,181
m.0hzp_h5,181
m.0j6qdtg,181
m.0x17t6b,180
m.02z7r16,180
m.0107dsdt,180
m.09rtf2x,180
m.0h4j2,180
m.0jw9clp,180
m.0r5ng1s,180
m.07lwcy,179
m.06_tqnd,179
m.0drs36,179
m.071mv9,179
m.026hxn,179
m.0cc5gwb,179
m.02r5m74,178
m.0gcsk4q,178
m.04t2cmb,178
m.0j859vj,178
m.02z112f,178
m.0_kqnv7,178
m.0_zd0zz,177
m.04t1yw4,177
m.03899g,177
m.01nd14,176
m.0bx1l0,176
m.05qdx8x,176
m.010wq_n8,176
m.065934,176
m.0ch1jyt,176
m.02qjb8,175
m.06hf1,175
m.0d6wvc,175
m.0nb9n07,174
m.0322hl,174
m.0b0cgs,174
m.0c020xz,174
m.0jzyn3z,174
m.051jvqg,174
m.06d4q2c,174
m.0pkpb64,174
m.02w4w30,174
m.0v8_g35,174
m.0wds6qf,173
m.0hhqh78,173
m.04yl2md,173
m.02qtk10,172
m.04y5m9q,172
m.09zw2b,172
m.04zwhhg,172
m.06cf2sr,172
m.098gw2b,171
m.02z110c,171
m.03m8dg,171
m.0j18vyt,171
m.039rvr,171
m.0y80jqd,171
m.04w4fs6,171
m.0rp_7k5,170
m.02qp983,170
m.025_mkm,170
m.028408g,170
m.04w2_yx,170
m.09zvt4,170
m.0clj8j4,170
m.05mqt8,169
m.0w0j9v4,169
m.0jryfv2,169
m.04yq82n,168
m.03hlk90,168
m.04w341f,167
m.0wy0y5l,167
m.0407xh4,167
m.0dlb8q7,167
m.011k_rhd,166
m.02mn05,166
m.04w4b2j,166
m.0px6_dn,166
m.0642vyl,166
m.0120yyr9,166
m.0k9bztq,165
m.0j54j5z,165
m.0807q3m,165
m.0_gl49b,165
m.010695wr,165
m.09c5c0,165
m.06g_3t5,165
m.04jgg0y,164
m.0gx2f73,164
m.0q3ngmb,164
m.0v_34d0,163
m.0ncl994,163
m.010qzwmr,163
m.0jx9bp5,163
m.0j18vz5,163
m.0c01yb_,163
m.04ymwpv,163
m.02854zs,163
m.0khpb48,163
m.0j1cpxt,163
m.0n3h0cg,163
m.05rlkv,163
m.0bxz2k2,162
m.0v_1kpv,162
m.0svnyv3,162
m.01d5k8,162
m.03f_1h,161
m.0jjjvgt,161
m.0ws06c5,161
m.010p7kgh,161
m.04w4zc3,161
m.0681rq,161
m.03c2c0k,161
m.0101pxt7,160
m.0vn2lj4,160
m.0cv3vg,160
m.02dnz5,160
m.01vn_x,160
m.0k5g21_,160
m.06p99f,160
m.02rvqr5,159
m.04z_d6k,159
m.0_vj1d1,159
m.0h523mr,159
m.0gmbyzl,158
m.04kb6b,158
m.03c3rsk,158
m.03tj22,158
m.0112ywwb,158
m.04yf_d,158
m.046vw57,157
m.0zdbnld,157
m.0jw55tf,157
m.05khp0q,157
m.0_7nrnz,156
m.0vxzh1k,156
m.03mnzx,156
m.08dq3w,156
m.06pfdf,156
m.0brd9b,156
m.0nd4mr7,156
m.062gzr,155
m.0b65b3z,155
m.0khl5th,155
m.010p162k,154
m.02tkwc,154
m.04wfnyl,154
m.04wft01,154
m.0gmbkb5,154
m.0qfnl6d,154
m.04t2kbc,154
m.0cp2dy,154
m.06s116p,154
m.04t3s4q,154
m.03t9p4,154
m.0zmq5yg,154
m.09tm4sw,154
m.010687bl,153
m.06ftq26,153
m.016l3b,153
m.04t2cll,153
m.0fx9dv,153
m.060_3t,153
m.0px5llk,153
m.0n2349g,153
m.0zb3rsv,153
m.04ymprf,152
m.0k3n1dk,152
m.0276dv,152
m.0nhjpcm,152
m.03f_26,152
m.04w4dg6,151
m.0x04rzy,151
m.0_7ff1m,151
m.06ckb1y,151
m.04w4drg,150
m.0j4d1c3,150
m.010nm6dd,150
m.0gmh5kd,150
m.0w9sdmr,150
m.04lx27,150
m.0d0tj,150
m.0j597mn,150
m.0r41j2k,150
m.0_svt15,150
m.01hn49,150
m.03wh76,149
m.0k1gqsc,149
m.04t2clb,149
m.0nh7fv4,149
m.04w8yrg,149
m.02x5kqf,149
m.0dfbx4,148
m.0x1wvzq,148
m.0v_9tgd,148
m.05249v,148
m.0n3mprf,148
m.05nzy48,148
m.0sg8jn5,147
m.03_q3d,147
m.0_zd35r,147
m.07bwm0,147
m.02qsd08,147
m.04gt_bg,147
m.0kh88nz,146
m.0j4jkd_,146
m.0cn97v,146
m.0bv6zlw,146
m.0gmpx7,146
m.06jv_mc,146
m.010fffh9,145
m.06p01r4,145
m.04yq4px,145
m.04t3gmn,145
m.0m5fk5s,145
m.0g58tv6,145
m.0285n42,144
m.0_qvnd3,144
m.027__yt,144
m.0pxlg94,143
m.05ft94,143
m.01s5pg,143
m.0277xy,143
m.05qggwv,143
m.0fqcnc,143
m.04zzlmn,143
m.0ys_1rs,143
m.05qgd7t,143
m.045wq0k,142
m.04wf42v,142
m.02vr6l,142
m.03789f,142
m.04w3hgq,142
m.06gq0ts,142
m.06kctxz,142
m.01vs43,142
m.06c_4_b,141
m.0crs37,141
m.05qhks4,141
m.03r8jw,141
m.0hr6dv1,141
m.04t2jsm,141
m.088vgy,141
m.0n6301q,141
m.03cknd_,141
m.04t43gb,141
m.05zdx0,141
m.05zkvx6,141
m.0zglc5f,141
m.04w96yl,140
m.04w4frq,140
m.043jz_z,140
m.04jfgk,140
m.0jz1m8b,140
m.0glq1y0,140
m.0cz8gt1,140
m.0r8f7w_,140
m.08lm49,139
m.0crdx_d,139
m.04w349p,139
m.0k1cbb3,139
m.06b61k,139
m.05h8j,139
m.0q41bq9,138
m.0zmjbdp,138
m.043n30s,138
m.04yl239,138
m.07jyr4,138
m.0hhw586,138
m.0lxlz91,137
m.03hqjx4,137
m.051jp2x,137
m.05kdh52,137
m.0y81xj9,137
m.05f4s02,137
m.076v9kb,137
m.0ncl74t,137
m.06jx7n6,136
m.0jz25k8,136
m.06f9qg3,136
m.06xsz2,136
m.0dwglw,136
m.03cy2d6,136
m.0sg8nvf,136
m.09c7q1,136
m.06fr7fq,135
m.0g5qtmb,135
m.06j87wt,135
m.04yl1_5,135
m.04w4ftz,135
m.027687_,135
m.04t2k8c,135
m.0j7cftx,135
m.0107djcn,135
m.0kzcv53,135
m.02qx0j,135
m.07l1r,135
m.0jz1w18,134
m.0y5g0lj,134
m.026qg4m,134
m.0127x9px,134
m.03bzbft,134
m.0462yst,134
m.0g53hfh,134
m.07w5b0,134
m.0x26k,134
g.11bv302_25,133
m.0czbkl6,133
m.010s2kq_,133
m.0j4d3wl,133
m.0y7zbjj,133
m.0w9sm60,133
m.0w9v6lb,133
m.0j864vq,133
m.027x_k0,133
m.0jz29lq,133
m.0652g_,132
m.010syvjq,132
m.088_kv,132
m.0j859yp,132
m.027h846,132
m.04w347f,132
m.02q3yf4,132
m.0_rnzlg,131
m.07ty3g,131
m.04jch1n,131
m.075mb9,131
m.0d7y20,131
m.02q9qkw,131
m.04w345f,131
m.0byls6,131
m.0gw8w9b,131
m.0x2jw56,131
m.0j4nh6m,131
m.04f_0xk,131
m.0qs38yn,131
m.0b65b41,131
m.08dg8l,131
m.04yh64s,130
m.04yl692,130
m.04yc_8,130
m.0w4cbqc,130
m.04yg29,130
m.04y045,130
m.0c5g40,130
m.0rn_1fl,130
m.06j3yv,130
m.0n_5c8_,129
m.03t0f4,129
m.04wgl1b,129
m.04gwgc6,129
m.0h1bwz2,129
m.0nzpvff,129
m.0k8f30k,129
m.0b6dk74,129
m.04fd2j,129
m.04w300d,129
m.027gjx6,129
m.0h4ld,128
m.0ctsqv,128
m.0z9wdsp,128
m.0f05ts,128
m.0qs37vz,128
m.0k061s1,128
m.0px61wx,128
m.09v7wp5,128
m.09jrnt,128
m.06t_z0,128
m.09rr14j,128
m.0v_39g6,128
m.03c8dcp,127
m.05qg0_y,127
m.0gw8whh,127
m.0_w9tk0,127
m.064njd,127
m.010p7l3g,127
m.028bf96,127
m.027bjlf,127
m.07t1b1,126
m.0__60xp,126
m.0mvkcsz,126
m.05qf8dn,126
m.03l9nv,126
m.0q3xzlh,126
m.0j54scj,126
m.02q_836,126
m.010nnsbn,126
m.04w2qmg,126
m.0dwy5b,125
m.0swmt9q,125
m.0w4d8q2,125
m.0v_9mz4,125
m.025wqfc,125
m.04w4k7l,125
m.0w2z_4s,125
m.0hr72rp,125
m.08ybt7,125
m.01ylw1,125
m.0ch1jy_,125
m.0zt58dh,125
m.010r5jxd,124
m.07d4x,124
m.06kgkyl,124
m.09g9ntn,124
m.010nvlc0,124
m.0jwbn7k,124
m.04w4b30,124
m.0zpzq9y,124
m.01kp4b,123
m.0b6209,123
m.04t08sh,123
m.032c9l,123
m.051kf69,123
m.0j6sy,123
m.09_887,123
m.0bh6w1s,123
m.04z_hx5,123
m.010nvyw9,123
m.0jjc504,123
m.0t_k63y,122
m.04jpjd5,122
m.0_skl2l,122
m.0h7l_t8,122
m.01d188,122
m.099px_,122
m.04w4k6v,122
m.0zdbqnt,122
m.0p01htk,122
m.0cvd04,122
m.052147_,122
m.0bxx54,122
m.0dqx3,122
m.0w4gl74,121
m.0h15jd1,121
m.03gzt_,121
m.063vkcm,121
m.02k7d16,121
m.0w356q7,121
m.04t2jrm,121
m.0_d21sg,121
m.0jjj_hj,121
m.04zkm4b,121
m.0108br3f,120
m.0vs48kg,120
m.0w_hpxw,120
m.0xnnvh1,120
m.0r404_7,120
m.0bf1vjw,120
m.04q2ml1,120
m.0j4bb0p,119
m.04w4fvg,119
m.0w41rw6,119
m.04w4hq4,119
m.03nlb7,119
m.0bywggc,119
m.04wgsf9,119
m.0261ln,119
m.0zd9hmx,119
m.0j88gvz,119
m.0swl5d1,119
m.0ctt60,119
m.0nmns,118
m.04wf422,118
m.010lk687,118
m.0v_6vhx,118
m.06hw80j,118
m.07kjffg,118
m.02z5z7_,118
m.0107f497,118
m.04yn8f1,118
m.0280d7t,118
m.03rpf,118
m.02rt201,118
m.0_y7lcr,118
m.03cbc79,118
m.05zkhzj,117
m.0y820by,117
m.099gg,117
m.0n5y0_y,117
m.03k6kh,117
m.026c4ms,117
m.025sb5z,117
m.0dsdj09,117
m.010nqg3p,117
m.07rvc6,117
m.09tlq6d,117
m.03819m,117
m.0671fcc,117
m.02z10_b,117
m.0c02572,117
m.027fw50,116
m.0w1gvdf,116
m.021ncg,116
m.04f2mcc,116
m.04q0xbc,116
m.04l7gl,116
m.02r3dt,116
m.06zlxl,116
m.026hh5f,116
m.03bzcnc,116
m.0_rhl7j,116
m.0gsq7h,116
m.03lzhc,115
m.099sd5,115
m.0407yz1,115
m.067d6b8,115
m.09k4_wv,115
m.0_bnp,115
m.0j49_14,115
m.0ycwr43,115
m.04w4zfc,115
m.024b07,115
m.0h4m_,115
m.010l5sdw,115
m.0nb9r24,115
m.0j862xb,115
m.0hcby,115
m.095cny_,114
m.0fdy6d,114
m.0719_p,114
m.0h3pzqh,114
m.0_lg8r9,114
m.0sgqrns,114
m.04w4k7b,114
m.0wzlqn3,114
m.0bmcg0m,114
m.04yp_0m,114
m.0j4_q4l,114
m.0_7ms38,114
m.0v8z_z6,114
m.08l5lw,114
m.0nd4sgr,113
m.0z9pl10,113
m.0z9z7lz,113
m.02rq29,113
m.0hrf73t,113
m.07gvgz,113
m.0jx0_dz,113
m.05pr4s,113
m.045r2gy,113
m.026vg9x,113
m.0k0trl1,112
m.04xzq1,112
m.04r639,112
m.04w33_f,112
m.02795m2,112
m.0kcmdvx,112
m.0h15jh_,112
m.0rf9qdd,112
m.045rmwt,112
m.069kww,112
m.0cc8dh3,112
m.0gj5s6d,112
m.09gfxbq,112
m.06j_mkk,112
m.0v_3547,112
m.04ylb1k,111
m.0yqpy98,111
m.04kf9k,111
m.07kpf,111
m.0113bbd6,111
m.04jhf6,111
m.03d4h97,111
m.027d2k6,111
m.0y48nw9,111
m.026y3n0,111
m.02rk_xn,111
m.0m5kmxd,111
m.04t35m7,110
m.0sgqjj1,110
m.047b9_,110
m.0vzc0sz,110
m.02p6cb,110
m.0r8n9pv,110
m.043nvtj,110
m.04yq71s,110
m.01100w2t,110
m.026gh1b,110
m.02l8zn,110
m.033n0d,110
m.0yq1wjk,110
m.04t19hw,110
m.04w4frg,110
m.06c_g04,110
m.0jjhn27,109
m.06kw9jv,109
m.053w2_,109
m.03d65y6,109
m.02pvwxx,109
m.06r97m9,109
m.0hr8d23,109
